Cross Semivariogram     tail:Ag           head:Ag            direction  1 
  63       63.000      -.15377    91120         .12651        -.02446
  64       64.000      -.15285    90785         .12574        -.02407
  65       65.000      -.15160    90450         .12485        -.02372
  66       66.000      -.15026    90115         .12378        -.02335
  67       67.000      -.14882    89780         .12262        -.02297
  68       68.000      -.14701    89445         .12152        -.02275
  69       69.000      -.14498    89110         .12037        -.02263
  70       70.000      -.14275    88775         .11923        -.02271
  71       71.000      -.14054    88440         .11809        -.02302
  72       72.000      -.13813    88105         .11681        -.02359
  73       73.000      -.13567    87770         .11538        -.02432
  74       74.000      -.13333    87435         .11380        -.02528
  75       75.000      -.13065    87100         .11216        -.02649
  76       76.000      -.12816    86765         .11054        -.02789
  77       77.000      -.12578    86430         .10891        -.02928
  78       78.000      -.12316    86095         .10734        -.03062
  79       79.000      -.12052    85760         .10590        -.03208
  80       80.000      -.11801    85425         .10464        -.03365
  81       81.000      -.11546    85090         .10338        -.03530
  82       82.000      -.11290    84755         .10211        -.03690
  83       83.000      -.11057    84420         .10098        -.03861
  84       84.000      -.10855    84085         .10003        -.04037
  85       85.000      -.10649    83750         .09919        -.04212
  86       86.000      -.10477    83415         .09857        -.04385
  87       87.000      -.10334    83080         .09807        -.04565
  88       88.000      -.10240    82745         .09762        -.04728
  89       89.000      -.10183    82410         .09752        -.04877
  90       90.000      -.10143    82075         .09769        -.05015
  91       91.000      -.10085    81740         .09807        -.05136
  92       92.000      -.09983    81405         .09860        -.05249
  93       93.000      -.09874    81070         .09921        -.05343
  94       94.000      -.09766    80735         .09989        -.05427
  95       95.000      -.09706    80400         .10062        -.05505
  96       96.000      -.09660    80065         .10117        -.05582
  97       97.000      -.09628    79730         .10164        -.05671
  98       98.000      -.09624    79395         .10224        -.05773
  99       99.000      -.09659    79060         .10274        -.05877
 100      100.000      -.09745    78725         .10318        -.05972
Cross Semivariogram     tail:Ag           head:Be            direction  1 
   1        1.000       .00004   111890         .00654         .00080
   2        2.000       .00008   111555         .00727         .00055
   3        3.000      -.00004   111220         .00804         .00024
   4        4.000      -.00012   110885         .00904        -.00007
   5        5.000      -.00003   110550         .01012        -.00044
   6        6.000       .00011   110215         .01124        -.00082
   7        7.000       .00019   109880         .01247        -.00135
   8        8.000       .00029   109545         .01378        -.00198
   9        9.000       .00037   109210         .01529        -.00252
  10       10.000       .00049   108875         .01697        -.00299
  11       11.000       .00099   108540         .01882        -.00323
  12       12.000       .00145   108205         .02078        -.00337
  13       13.000       .00177   107870         .02290        -.00343
  14       14.000       .00179   107535         .02523        -.00344
  15       15.000       .00132   107200         .02778        -.00353
  16       16.000       .00119   106865         .03050        -.00371
  17       17.000       .00123   106530         .03311        -.00396
  18       18.000       .00175   106195         .03571        -.00442
  19       19.000       .00271   105860         .03828        -.00496
  20       20.000       .00423   105525         .04084        -.00561
  21       21.000       .00602   105190         .04350        -.00642
  22       22.000       .00804   104855         .04611        -.00730
  23       23.000       .01025   104520         .04860        -.00820
  24       24.000       .01295   104185         .05112        -.00913
  25       25.000       .01603   103850         .05360        -.01009
  26       26.000       .01934   103515         .05609        -.01096
  27       27.000       .02291   103180         .05866        -.01185
  28       28.000       .02621   102845         .06130        -.01275
  29       29.000       .02914   102510         .06397        -.01373
  30       30.000       .03203   102175         .06673        -.01470
